Antena,Latitud,Longitud,Temperatura media,Humedad,Precipitacion,Cultivo,Fiabilidad de siembra
ORIZABA,18.8652777778,-97.0980555556,14.5,88.0,0.0,Jitomate,0.33
EL SALADO,19.0408333333,-95.9708333333,20.4,71.0,0.0,Jitomate,0.67
POBLADO C11,18.1736111111,-93.6219444444,22.6,78.0,0.0,Jitomate,0.33
ACAYUCAN,17.9766666667,-94.9008333333,22.8,87.0,0.1,Jitomate,0.33
HUIXTLA,15.1469444444,-92.4713888889,23.454808571428572,0.0,0.0,Jitomate,0.33
VILLA LUIS GIL,17.8788888889,-93.0730555556,23.4,83.0,0.0,Jitomate,0.33
VERACRUZob,19.1427777778,-96.1111111111,22.4,76.0,0.0,Jitomate,0.33
LOS PETENES,19.9433333333,-90.3738888889,22.504313749999998,0.0,0.0,Jitomate,0.33
YAXCHILAN,16.8575,-90.9836111111,21.112558571428572,0.0,0.3714285714285714,Jitomate,0.33
LOS TUXTLAS II,18.375,-94.9311111111,16.8,96.0,0.0,Jitomate,0.33
DZILBACHEN,19.4622222222,-89.7238888889,22.9228,0.0,0.0,Jitomate,0.33
ALDEAS,18.3291666667,-93.5497222222,24.3,87.0,0.0,Jitomate,0.33
LOS TUXTLAS I,18.5841666667,-95.0736111111,13.4,69.0,0.2,Jitomate,0.67
ESCARCEGA,18.6083333333,-90.7538888889,23.4862175,0.0,0.0,Jitomate,0.33
ESCUINTLA,15.2975,-92.6761111111,22.29434375,0.0,0.0,Jitomate,0.33
MOTOZINTLA,15.3333333333,-92.2675,17.392737142857143,45.142857142857146,0.0,Jitomate,0.33
CAYO ARCAS,20.2038888889,-91.9627777778,22.70210333333333,0.0,0.0,Jitomate,0.33
COATZACOALCOob,18.14,-94.5108333333,22.8,68.0,0.0,Jitomate,0.67
COATZACOALCO,18.1497222222,-94.4066666667,22.9,93.0,0.0,Jitomate,0.33
CELESTUN,20.8580555556,-90.3830555556,21.7,100.0,0.0,Jitomate,0.33
